source_url,discovered_url,email,page_title,lane,status,note
https://www.aquamagazine.com/products/article/15831414/new-improved-august-2026,https://www.aquamagazine.com/products/article/15831414/new-improved-august-2026,example@gmail.com,New & Improved: August 2026 | AQUA Magazine Facebook icon Instagram icon Pinterest icon Twitter X icon LinkedIn icon Facebook icon Instagram icon Pinterest icon Twitter X icon LinkedIn icon Facebook icon Instagram icon Pinterest icon Twitter X icon LinkedIn icon,publication,needs-verification,"Public page extraction; verify source, suppression, and fit before sending."
https://www.aquamagazine.com/products/article/15831414/new-improved-august-2026,https://www.aquamagazine.com/page/about-us,example@gmail.com,About Us | AQUA Magazine Facebook icon Instagram icon Pinterest icon Twitter X icon LinkedIn icon Facebook icon Instagram icon Pinterest icon Twitter X icon LinkedIn icon Facebook icon Instagram icon Pinterest icon Twitter X icon LinkedIn icon,publication,needs-verification,"Public page extraction; verify source, suppression, and fit before sending."
https://pooldial.com/resources/articles/general/best-pool-podcasts,https://pooldial.com/resources/articles/general/best-pool-podcasts,contact@pooldial.com,The 12 Best Pool Service Podcasts | PoolDial Resources,creator-media,needs-verification,"Public page extraction; verify source, suppression, and fit before sending."
https://pooldial.com/resources/articles/general/best-pool-podcasts,https://pooldial.com/features/team-management,contact@pooldial.com,Team Management | PoolDial,needs-classification,needs-verification,"Public page extraction; verify source, suppression, and fit before sending."
https://pooldial.com/resources/articles/general/best-pool-podcasts,https://pooldial.com/resources/support,contact@pooldial.com,Support | PoolDial,needs-classification,needs-verification,"Public page extraction; verify source, suppression, and fit before sending."
https://pooldial.com/resources/articles/general/best-pool-podcasts,https://pooldial.com/about,contact@pooldial.com,About | PoolDial,needs-classification,needs-verification,"Public page extraction; verify source, suppression, and fit before sending."
https://podcast.feedspot.com/swimming_pool_podcasts/,https://podcast.feedspot.com/swimming_pool_podcasts/,anuj@feedspot.com,23 Best Swimming Pool Podcasts to Listen to in 2026,creator-media,needs-verification,"Public page extraction; verify source, suppression, and fit before sending."
https://podcast.feedspot.com/swimming_pool_podcasts/,https://podcast.feedspot.com/swimming_pool_podcasts/,team@feedspot.com,23 Best Swimming Pool Podcasts to Listen to in 2026,creator-media,needs-verification,"Public page extraction; verify source, suppression, and fit before sending."
https://www.poolspapatio.com/education/,https://www.poolspapatio.com/education/,attendeecustomerservice@poolspapatio.com,Pool Industry Training & Education | Pool Spa Patio Expo,training,needs-verification,"Public page extraction; verify source, suppression, and fit before sending."
https://www.poolspapatio.com/education/,https://www.poolspapatio.com/education/,client.services@poolspapatio.com,Pool Industry Training & Education | Pool Spa Patio Expo,training,needs-verification,"Public page extraction; verify source, suppression, and fit before sending."
https://www.poolspapatio.com/education/,https://www.poolspapatio.com/education/,u003eattendeecustomerservice@poolspapatio.com,Pool Industry Training & Education | Pool Spa Patio Expo,training,needs-verification,"Public page extraction; verify source, suppression, and fit before sending."
https://www.poolspapatio.com/education/,https://www.poolspapatio.com/education/,u003eclient.services@poolspapatio.com,Pool Industry Training & Education | Pool Spa Patio Expo,training,needs-verification,"Public page extraction; verify source, suppression, and fit before sending."
https://www.poolspapatio.com/education/,https://www.poolspapatio.com/experience/about/,attendeecustomerservice@poolspapatio.com,About Pool Spa Patio Expo | Pool Spa Patio Expo,needs-classification,needs-verification,"Public page extraction; verify source, suppression, and fit before sending."
